Reg	Reg_correct	Operator	Operator_correct
NULL	NULL	AF369TH	AF7369
NULL	NULL	AF369UH	AF7369
NULL	NULL	AF370CA	AF7370
NULL	NULL	AF373UH	AF7373
NULL	NULL	AF374CA	AF7374
NULL	NULL	AF375TH	AF7375
NULL	NULL	AF381EE	AF7381
NULL	NULL	AF382ZD	AF7382
NULL	NULL	AF383EE	AF7383
NULL	NULL	AF385EE	AF7385
NULL	NULL	AF386ZD	AF7386
NULL	NULL	AF388V	AF2347
NULL	NULL	AF391CD	AF7391
NULL	NULL	AF392JP	AF1392
NULL	NULL	AF393CD	AF7393
NULL	NULL	AF393HI	AF1393
NULL	NULL	AF395CD	AF7395
NULL	NULL	AF396VK	AF7396
NULL	NULL	AF397CD	AF7397
NULL	NULL	AF400CD	AF7400
NULL	NULL	AF400RU	AF7400
NULL	NULL	AF401ZN	AF7401
NULL	NULL	AF414GP	AF7414
NULL	NULL	AF414RU	AF7414
NULL	NULL	AF415XI	HOP7415
NULL	NULL	AF415ZN	AF7415
NULL	NULL	AF416RU	AF7416
NULL	NULL	AF417MN	AF7417
NULL	NULL	AF417ZN	AF7417
NULL	NULL	AF433VI	AF7433
NULL	NULL	AF436MM	AF7436
NULL	NULL	AF439VI	AF7439
NULL	NULL	AF440MM	AF7440
NULL	NULL	AF450XI	AF7450
NULL	NULL	AF451AR	AF7451
NULL	NULL	AF452CH	AF6244
NULL	NULL	AF454XI	AF7454
NULL	NULL	AF456CH	AF7456
NULL	NULL	AF457BQ	AF7457
NULL	NULL	AF458XI	AF7458
NULL	NULL	AF459AR	AF7459
NULL	NULL	AF460CH	AF7460
NULL	NULL	AF461BQ	AF7461
NULL	NULL	AF462XI	AF7462
NULL	NULL	AF463AR	AF7463
NULL	NULL	AF464AP	AF7464
NULL	NULL	AF464GD	AF7464
NULL	NULL	AF466AP	AF7466
NULL	NULL	AF467BC	AF7467
NULL	NULL	AF468AP	AF7468
NULL	NULL	AF469BC	AF7469
NULL	NULL	AF474BT	AF7474
NULL	NULL	AF475CY	AF7475
NULL	NULL	AF477CY	AF7477
NULL	NULL	AF478BT	AF7478
NULL	NULL	AF479CY	AF7479
NULL	NULL	AF481CP	AF7481
NULL	NULL	AF483UD	AF7483
NULL	NULL	AF484LH	AF7484
NULL	NULL	AF486MC	AF7486
NULL	NULL	AF487UD	AF7487
NULL	NULL	AF488LH	AF7488
NULL	NULL	AF490MC	AF7490
NULL	NULL	AF491CP	AF7491
NULL	NULL	AF491UD	AF7491
NULL	NULL	AF496LH	AF7496
NULL	NULL	AF498MC	AF7498
NULL	NULL	AF499UD	AF7499
NULL	NULL	AF500SO	AF7500
NULL	NULL	AF501TI	AF7501
NULL	NULL	AF501XJ	AF7501
NULL	NULL	AF502KO	AF7502
NULL	NULL	AF503UJ	AF7503
NULL	NULL	AF503XJ	AF1821
NULL	NULL	AF504KO	AF7504
NULL	NULL	AF504SO	AF7504
NULL	NULL	AF505XJ	AF6248
NULL	NULL	AF506KO	AF7506
NULL	NULL	AF506UZ	AF7507
NULL	NULL	AF507TY	AF7673
NULL	NULL	AF507UJ	AF7507
NULL	NULL	AF508PN	AF7509
NULL	NULL	AF508SO	AF7508
NULL	NULL	AF509UJ	AF7509
NULL	NULL	AF509XJ	AF7509
NULL	NULL	AF510KO	AF7510
NULL	NULL	AF511UJ	AFR20J
NULL	NULL	AF512SO	AF7512
NULL	NULL	AF513UJ	AF7513
NULL	NULL	AF513XJ	AFR513X
NULL	NULL	AF516BM	AF7516
NULL	NULL	AF517ZW	AF7517
